■科目名,,■開設年度,■区分,■対象学科名,■分類,■単位数,■実施期,■履修条件,■前後期,■担当教員,■代表教員名及び連絡先等,■オフィスアワ－,■講義の概要（目的・内容・方法）,■授業の到達目標及びテーマ,■授業計画,■授業外学習（予習・復習）,■受講要件,■成績の評価基準,■教科書・参考書,■教師としての資質能力に関するチェック項目,アクティブ・ラーニング,アクティブ・ラーニング（その他）,アクティブ・ラーニング(授業回数),■実務経験のある教員による実践的授業,■その他
学校保健,School Health Service,2020,専修専門科目,健康教育,,2,4期,,後,前田雅人,教育学部保健体育科棟1階生理学研究室099-285-7755（内線7755）,"オフィスアワーは金曜日の午後4時から5時。メールでも対応可。
",授業の目的は、学校保健の内容と重要性を理解することにあり、具体的には?児童生徒等の健康の保持増進を図るための施策、?健康や安全のための教育活動、などを学び、実践能力をつける。幅広い領域であるが，授業計画に則り，全容の理解と修得に努める。授業は、配布資料等による講義と課題レポートを組み合わせ、確認試験を行う。,"1）児童生徒等の健康の保持増進を図るため，現在の問題点を理解し，対策を考ること
2）集団教育としての学校教育活動における必要な健康や安全への配慮を理解すること
3）保健教育について理解と，実践ができるようになること","1回目：学校保健とは何か，学校保健の目的と内容について，学校保健関係職員と学校保健組織活動について 
2回目：子どもの発育・発達について，
3回目：小学校学習指導要領解説（3,4年）：健康な生活，体の発育・発達(1) 
4回目：小学校学習指導要領解説（3,4年）と（5,6年）：体の発育・発達(2)，心の健康，けがの防止
5回目：小学校学習指導要領解説（5,6年）けがの手当て
6回目：小学校学習指導要領解説（5,6年）病気の予防
7回目：喫煙と飲酒（1） について
8回目：飲酒（2），薬物乱用，幼児・児童・生徒にみられる疾病・異常（1）について
9回目：幼児・児童・生徒にみられる疾病・異常（2）
10回目：幼児・児童・生徒にみられる疾病・異常（3）
11回目：幼児・児童・生徒にみられる疾病・異常（4），中学校学習指導要領解説「保健体育編」（1）について
12回目：中学校学習指導要領解説「保健体育編」（2）
13回目：中学校学習指導要領解説「保健体育編」（3）
14回目：中学校学習指導要領解説「保健体育編」（4）
15回目：授業の総括と確認試験
",配布資料を事前に読んでおくこと。また授業後は，授業内容を復習し，指示した課題に取り組むこと。,特になし,授業態度，レポート等を合わせて20％評価，確認試験を80％評価し，60％以上を合格とする,"参考書
　小学校学習指導要領解説
　中学校学習指導要領解説「保健体育編」
　学校保健ハンドブック（教員養成系大学保健協議会編，ぎょうせい）
　学校保健概論（松岡弘編，光生館）","6.保護者・地域社会との連携力
　【B連携協働力、自己改善力の育成】学校と家庭や地域社会との連携･協力の在り方について，基本的な理解を深め，自ら連携･協力しようとする態度を身に付けている
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
栄養学,Nutritional Chemistry,2020,専修専門科目,健康教育,,2,4期,,後,加治屋勝子,　　,随時（事前に、TELあるいはE-mailで連絡してください）,"健康の維持・増進や疾病予防のために、どのような栄養素を摂取し、どのように代謝されるのかを知る。
栄養成分と身体、組織、細胞との相互作用を知り、必要な栄養素の摂取によって、身体がどのような影響を受けるのかについて学ぶ。 ","食ベ物がどのように身体にとって必要なのかを学習するため、以下の知識を習得する。
1 どのような物質を栄養素として摂取しているか?
2 身体にはどのような影響を与えるのか?
3 何をどのくらい食ベる必要があるか?","１、栄養化学概略
２、糖質
３、糖質の消化と吸収
４、脂質
５、脂質の消化と吸収
６、タンパク質
７、タンパク質の消化と吸収
８、ビタミン
９、ビタミンの消化と吸収
１０、ミネラル
１１、ミネラルの消化と吸収
１２、機能性成分
１３、機能性成分の代謝
１４、その他（食欲・味覚・細胞情報伝達など）
１５、まとめと確認試験","予習：教科書に目を通して学習しておく
復習：授業で学んだ内容を振り返り、要点を整理する。また、実際の食生活とリンクさせて理解を深める。",特になし,"毎回、出欠の確認・ミニテストを実施します。ミニテストは「教科書のみ」閲覧可能です。
成績は、出欠の確認・ミニテストのみで評価します。（ミニテスト以外の試験やレポートはありません）
なお、実習等による欠席（担当教員が認めたもの）については考慮しますので、必ず欠席届を出してください。","大学生協で購入してください。
「栄養の基礎化学」DTP出版、加治屋勝子著","18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","振り返り(ミニッツ・ペーパー等）
",,15回,,"ミニテストは、上記の教科書のみ閲覧を認めます。
その他の媒体（ウェアラブル端末、パソコン等）の閲覧や他人との相談は不正行為とみなします。"
子どもの保健【2019年度は不開講】,child health,2020,専修専門科目,健康教育,,2,4期,,後,橋口　知,橋口　知　tomo@edu.kagoshima-u.ac.jp（教育学部健康教育講座）,,この授業では、学校保健に必要な子どもの各時期の心身発達の特徴と疾患について理解することを目的とする。授業内容としては、子どもの育つ環境や各時期における心身発達の特徴をふまえて、子どもによくみられる疾患の特徴と対処を理解するために、具体的な疾患を取り上げる。授業は、教科書・参考書および配布資料に基づく講義形式で行う。,"1 各発達時期に特徴的な疾患の特徴と対処を説明できる。
2 環境が子どもの育ちに与える影響を具体的に挙げることができる。","※集中講義で実施予定。
第１回　子どもの育つ環境
第２回　子どもの各時期の心身発達の特徴
第３回　子どもの病気1（感染性疾患）
第４回　子どもの病気2（呼吸器・循環器疾患）
第５回　子どもの病気3（免疫・アレルギー疾患）
第６回　子どもの病気4（血液疾患）
第７回　子どもの病気5（消化器疾患）
第８回　確認試験(1/2)、子どもの病気6（腎尿路・生殖器疾患）
第９回　子どもの病気7（代謝・内分泌疾患、皮膚疾患）
第１０回　子どもの病気8（眼・耳鼻咽喉・口腔疾患）
第１１回　子どもの病気9（運動器・神経系疾患）
第１２回　子どもの病気10（心理的疾患と発達障害）
第１３回　子どもの病気11（精神疾患）
第１４回　子どもの病気12（思春期の問題） 
第１５回　確認試験(2/2)、子どもの育ちを支える社会の仕組み","予習：次回のテーマに対して教科書・参考書を熟読し、解剖学、生理学、微生物学・薬理学等の知識の確認を行う。（学習に係る標準時間は約1時間）
復習：配布資料および教科書・参考書を用いて知識を確実に修得するよう反復学習を行う。（学習に係る標準時間は約30分間）",解剖学、生理学、看護学、微生物学・薬理学の履修後が望ましい。,授業への取組状況（15％）と3回の確認試験（85％）による総合評価を行う。授業への取組状況は積極的な受講態度の程度を評価し、確認試験においては授業内容の習熟度を評価する。原則として出席が全授業回数の3分の2以上の場合、評価対象とする。,"教科書：『新訂版学校保健実務必携第4次改訂版』学校保健・安全実務研究会編著 第一法規 2017(ISBN978-4-474-05673-2)　＊前期「微生物学・薬理学」の参考書と同じ
参考書：『園・学校でみられる子どもの病気百科』内海裕美監著 少年写真新聞社 2013（ISBN978-4-87981-474-6）　＊前期「微生物学・薬理学」の教科書と同じ","11.特別支援教育に関する理解
　【C学習者理解】特別支援教育に関する基本的な知識を身に付けており，それを生かした具体的な指導･支援の在り方を構想することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
陸上競技,,2020,専修専門科目,健康教育,,1,4期,,後,中島友樹，與儀幸朝,oomura@jkajyo.ac.jp,火曜日　5、6限目終了後,中学校、高等学校体育科で実施されている陸上競技の内容について、短距離、跳躍、長距離など、その種目特性を理解し、教育・指導現場における指導の方法や、指導ポイントなど学生相互に実技を通して理解を深めることを目的としている。,陸上競技の競技特性の理解と指導に関する基礎的知識の習得,"　1 ガイダンス、基礎的動きの確認
　2 短距離走（スタートダッシュ）
　3 短距離走（審判技能の確認および中間走）
　4 短距離走（タイムトライアル、まとめ）
　5 ハードル走（ハードリングの基礎技能）
　6 ハードル走（タイムトライアル、まとめ）
　7 リレー競走（バトンパス、競走）
　8 跳躍（走り幅跳び、踏切動作、助走）
　9 跳躍（走り幅跳び、記録測定）
　10 長距離走（追い越し走、呼吸法）
　11 長距離走（駅伝競走）
　12 投てき（メディシンボール）
　13 雨天時の陸上運動（短距離走）
　14 雨天時の陸上運動（補強運動等）
　15 タイムトライアル（再トライアル）",学生相互に各種目について、フォームの確認や技術の向上に努める,H２９入以前は「陸上競技?」に読み替える。,実技評価点およびグループ学習（アクティブラーニング等）を通した学習の参加度,,"3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
15.授業展開力及び授業評価力
　【D構想力，展開力，評価力等】基礎的な教育技術や教育評価について理解し，それを活かした授業実践と，授業の評価･改善を行うことができる
","グループ・ディスカッション
フィールドワーク
",,,,
体育社会学,,2020,専修専門科目,健康教育,健康運動学,1,4期,,後,深田　忠徳,深田　忠徳、（fukada@soc.iuk.ac.jp）,,"　「するスポーツ・みるスポーツ・ささえるスポーツ・しるスポーツ」と人々の生活のなかには「スポーツ」が深く入り込んでいる。スポーツが社会に与える影響や社会におけるスポーツの価値・意義を理解することで、現代社会においてスポーツがどのように位置づけられているのかを学んでいく。
　また、スポーツを多様な角度から考察していくことをねらいとする。
","１）スポーツを社会学的観点から理解することができる。
２）社会におけるスポーツの価値や意義について具体的に述べることができる。
３）スポーツに関する諸現象に関心を持ち、自己の考えを表現することができる。
","１．オリエンテーション
２．文化としてのスポーツ　―過去の体験からスポーツを考える―
３．「体育」と「スポーツ」の関係性
４．企業スポーツと社会関係
５．企業スポーツの変遷　―Ｊリーグの理念から―
６．スポーツマンシップとフェアプレー
７．スポーツのグローバル化が意味するもの 
８．まとめと試験
","・授業前後に計4時間程度の予習・復習を行うこと。
・スポーツに関する情報（スポーツ記事やニュース）に関心を持つこと。
",H２９入以前は「体育社会学?」に読み替える。,・試験：50％　　・活動状況：40％　　・ふりかえりシート：10％　,　・教科書は使用しないで、随時プリントを配布する。,"1.教職の意義（使命感・倫理観等）に関する理解
　【A教職の理解】教職の意義と役割を理解し、教育的愛情に支えられた使命感や職責感を持っている
2.教育の理念、制度、歴史等に関する理解
　【A教職の理解】教育の理念を理解し、教育の制度や歴史・思想に関する基礎的な知識を身に付けている
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
","グループ・ディスカッション
振り返り(ミニッツ・ペーパー等）
",,7回,,
体育心理学I,Sports Psychology I,2020,専修専門科目,健康教育,健康運動学,1,4期,以降,後,藤田勉,099-285-7758,火曜日の午前，水曜日の午前,目的は，体育・スポーツ心理学に関する基礎的な知識を理解することである．,"１．基本的な用語や概念の定義を説明できる．
２．類似した用語や概念の違いを説明できる．","１．一流選手の身体的および心理的な特徴
　　・遺伝が支配していると主張する立場
　　・環境が支配していると主張する立場
　　・教師および指導者の役割とコーチングの哲学
２．運動学習理論に基づく効果的な指導法
　　・恒常練習と多様性練習
　　・言語的フィードバック
　　・映像を用いた指導
３．集団および個人に応じた運動指導
　　・指導形態に応じた指導法
　　・発達段階に応じた指導法
　　・技能レベルに応じ指導法
４．メンタルマネジメント（１）
　　・呼吸を使った手法
　　・イメージを使った手法
　　５．メンタルマネジメント（２）
　　・目標設定
　　・集団およびチームへのメンタルトレーニング指導
６．スポーツモチベーション
　　・外発的動機づけと内発的動機づけ
　　・動機づけにおける社会的要因の重要性
７．講義のまとめと確認試験

",,保健体育の学生であること，もしくは，中高の保健体育の免許取得を目的としていることが受講条件である．自由単位取得のための受講は控えてほしい．,授業態度及び定期テストによって総合的に評価する．なお，欠席は１回まで．２回以上欠席した場合は評価しない．,"スポーツ遺伝子は勝者を決めるのか？　デイヴィッド・エプスタイン著　早川書房
黒人アスリートはなぜ強いのか？
運動指導の心理学　杉原隆著　大修館書店
生涯スポーツの心理学　杉原隆編著　福村出版
スポーツモチベーション　西田保編著　大修館書店","3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
9.学習者の心理・発達に関する理解
　【C学習者理解】子どもの発達や心理など，子ども理解のための基礎的な知識を身に付けており，それらを生かして子どもの発達を分析することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
","グループ・ディスカッション
",,4回,,
卒業論文演習,Seminar in a Graduation Thesis,2020,専修専門科目,健康教育,,1,5期,,前後,石走　知子,教育学部健康教育講座　石走知子isitomo@edu.kagoshima-u.ac.jp,時間の都合のつく限り随時対応する（生涯教育総合研究棟4階石走研究室）。必ず事前調整をメール:isitomo@edu.kagoshima-u.ac.jpで行うこと。,"この授業の目的は、卒業研究に先立ち、研究の意義について理解するとともに、研究課題の抽出、文献検索・文献検討、研究計画書作成、データ収集、データ分析、研究論文作成、論文クリティーク、研究倫理などの研究方法の基礎力を身につけることである。
授業内容としては、前半は、研究方法論のテキストを各自読み込み、担当部分をわかりやすくプレゼンテーションし、研究に関する基礎を共有する。後半は、自己の関心に基づく研究課題に合わせた文献収集と研究計画書の作成、発表までを行う。
授業は、配布資料等によるプレゼンテーションとディスカッションを組み合わせて行う。","１．研究の意義を理解する。
２．研究の基礎について理解する。
３．研究テーマの抽出から研究計画書の作成まで行い、研究の基礎的能力の一部を身につける。","第１回：卒業論文演習について
第２回：研究の意義
第３回：研究課題、文献検索・文献検討
第４回：研究計画書
第５回：質的研究、データ収集
第６回：量的研究、データ収集
第７回：データ分析、質問紙作成
第８回：研究論文の種類・論文クリティーク・研究倫理
第９回：自己の研究課題に基づいた文献検索・文献検討（１）
第１０回：自己の研究課題に基づいた文献検索・文献検討（２）
第１１回：自己の研究課題に基づいた文献検索・文献検討（３）
第１２回：自己の研究課題に基づいた研究計画書作成（１）
第１３回：自己の研究課題に基づいた研究計画書作成（２）
第１４回：自己の研究課題に基づいた研究計画書作成（３）
第１５回：自己の研究計画書発表","【予習】
講義時にプレゼンテーションを行うため、事前にテーマ毎の課題を与える。（学修に係る標準時間は約１時間）
【復習】
ディスカッションで得た意見を参考に、研究計画書の作成を進めておくこと。（学修に係る標準時間は約１時間）
",,講義時の意欲・態度(30％)、講義時に課すレポート・プレゼンテーション(30％)、研究計画書作成・発表(40％)で評価する。,　「フローチャートで進める看護研究」　根津進　学研,"5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
",,15回中13回,,
卒業論文演習,Seminar in a Graduation Thesis,2020,専修専門科目,健康教育,,1,5期,,前後,末吉　靖宏,"末吉　靖宏
E-mail: sueyoshi@edu.kagoshima-u.ac.jp Tel: 099-285-8837",前期･後期とも金曜17:40～18:30。　不在の場合、メールでの相談を受け付ける。,この授業の目的は、卒業要件である卒業論文を書くためには研究遂行のための方法論の知識が必要であることから、それらの知識を修得することにある。授業内容としては、文献検索および収集の方法、各自の研究テーマの絞り込み、身体運動の計測法、統計解析法、プレゼンテーション法などについて学習する。授業は、配布資料および授業参加者が収集した資料等を用いて講義、討論、演習形式で進め、研究テーマのプレゼンテーション課題の作成を行う。,"１　身体運動と健康が関係する問題について理解する。
２　研究テーマに関わる研究資料や文献の収集ができるようになる。
３　種々の運動計測装置の取り扱い方を修得する。
４　身体運動が関わる問題について適切な計測ができるようになる。
５　得られた一次データを加工することにより、主張点を表現できるようになる。
６　研究内容のプレゼンテーションができるようになる。
","第01回：　各自の研究テーマに関する討論およびこの授業の目的、内容、従業方法の確認
第02回：　卒業論文の意義、論文の構成の理解
第03回：　インターネットを活用した資料の取集方法。文献検索方法
第04回：　論文購読（画像解析を用い研究論文）
第05回：　論文購読（運動センサを用いた論文）
第06回：　計測方法の実習（画像解析装置及び床反力計）
第07回：　計測方法の実習（加速度計、角速度計、筋電図）
第08回：　データ処理法の演習（数式処理ソフトの導入）
第09回：　データ処理法の演習（計測データの計算方法）
第10回：　データ処理法の演習（いろいろな形式の作図法）
第11回：　基本統計の理解
第12回：　統計ソフトの使い方
第13回：　各自の現時点での研究テーマについて討論
第14回：　研究テーマ発表プレゼンテーション作成
第15回：　研究テーマ発表プレゼンテーションと質疑応答",配付資料等に基づき次の時間の内容を予習する（学修に関わる時間は約1時間）。授業で学んだ内容を振り返り、要点を整理する（学修に関わる時間は約30分）。,健康教育コースの学生で、末吉に論文指導を受ける予定で次年度卒業予定の3年生。,"レポート･発表スライド30%、発表内容･態度20%、授業態度および出席状況50%
出席率三分の二以上が必要であるので、これを満たさなくなった時点で授業放棄とみなす。",必要に応じて資料を配布する。,"5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
看護学実習・調査,Fundamental Practice of Nursing,2020,専修専門科目,健康教育,,2,5期,,前,石走　知子（第1～12回担当）、橋口　知（第13～15回担当）,教育学部健康教育講座　石走知子isitomo@edu.kagoshima-u.ac.jp,"石走：時間の都合のつく限り随時対応する（生涯教育総合研究棟4階石走研究室）。必ず事前調整をメール：isitomo@edu.kagoshima-u.ac.jpで行うこと。
橋口：水曜日12時10分～12時40分（生涯教育総合研究棟2階橋口研究室）。他の時間を希望する場合はメールtomo@edu.kagoshima-u.ac.jpで事前調整。メールによる質問は随時。","第1～12回の授業の目的は、学校現場において児童生徒の心身の不調に対応するケアが必要とされることから、看護的ケアについて理解するとともに、適切なケアを選択し、実践する力を身につけることである。
授業内容としては、基礎看護技術に関する講義と体験をとおして、養護教諭としてのケアの判断・技術・実践について学習する。
授業は、教科書・配布資料等による講義と実技、ミニレポートを組み合わせた形式で行う。

第13～15回の授業の目的は、学校現場には医療的ケアを必要とする児童生徒が在籍していることから、その内容や校内実施体制を理解することである。授業内容としては、特別支援学校における医療的ケアの実際を学習する。授業は、配布資料による講義と実技および見学を組み合わせた形式で、集中講義として行う。","１．基本的な基礎看護技術を理解し習得する。
２．学校において必要とされる看護的ケアを想定し、適切な看護技術を選択し適用することができる。
３．児童生徒や教職員の健康の保持増進について発展的に考察できる。
４．学校における医療的ケアの実施体制を具体的に説明することができる。","第1回：看護学実習・調査・オリエンテーション
第2回：看護技術の基本　
　　　　　－根拠に基づいた看護技術（ＥＢＮ）、看護過程、クリティカルシンキング、コミュニケーション－
第3回：ヘルスアセスメント(1)　－バイタルサイン－
第4回：ヘルスアセスメント(2)　－フィジカルアセスメント－
第5回：感染予防　－スタンダードプリコーション、衛生学的手洗い、擦式手指消毒－
第6回：環境整備　－ベッドメーキング、シーツ交換、保健室の環境－
第7回：体位と移動　－体位の種類、ストレッチャー・車いすの移乗・移送－
第8回：衣生活と身体の清潔　－寝衣交換、清拭、拭髪、口腔ケア－
第9回：栄養・食事・排泄　－食事介助、排泄介助－
第10回：与薬　－薬物療法の基礎知識、与薬方法、援助方法－
第11回：罨法　－温罨法、冷罨法－
第12回：看護学実習･調査　まとめ（実技試験含む）

第13回 医療的ケア見学実習(1)　講義：校内実施体制（集中）
第14回 医療的ケア見学実習(2)　演習：実技および喀痰吸引の見学（集中）
第15回 医療的ケア見学実習(3)　演習：実技および経管栄養の見学（同上：第14回と同日に実施）
＊第13～15回のオリエンテーションは前期授業中に実施予定","【第1～12回の予習】
講義で看護技術を一部体験するため、技術の「目的」「手順」の把握と「学校での適用」について想定して学習しておくこと。予習の確認質問は毎回実施する。（学修に係る標準時間は約1時間）
【第1～12回の復習】
技術の習得のため、繰返し練習をしておくこと。（学修に係る標準時間は約1時間）

【第13～15回の予習】授業「子どもの保健」で取り上げた内容を復習し、学校における医療的ケアに関する着眼点を１つ、考えておく（学習に係る標準時間は約1時間）
【第13～15回の復習】授業中に提示する課題に取り組み、内容を整理し、着眼点に対する自分の考えをまとめる（学習に係る時間は約30分間）",受講年度に養護教諭教育実地研究に参加する場合に限る。ただし、健康教育コース生については要件外でも認めることがあるため、担当教員に相談すること。,"【第1～12回の評価】
本授業の総合評価の80％とする。講義時の意欲・態度(25％)、講義時に課すミニレポート(25％)、最終試験は実技・口頭試問(30％)として評価する。

【第13～15回の評価】
本授業の総合評価の20％とする。内訳は、実習時の積極性10％、実習レポートにおける理解度と内容の適切性10％として評価する。ただし、第13～15回を欠席した場合は、全体の評価対象外とする。","【第1～12回の教科書】
　「基礎看護技術ガイド」　川島みどり、大吉三千代ほか編、照林社
　追加資料は適宜配布する。

【第13～15回の参考書：『新訂版学校保健実務必携第4次改訂版』学校保健・安全実務研究会編著 第一法規 2017(ISBN978-4-474-05673-2)","5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
11.特別支援教育に関する理解
　【C学習者理解】特別支援教育に関する基本的な知識を身に付けており，それを生かした具体的な指導･支援の在り方を構想することができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","振り返り(ミニッツ・ペーパー等）
その他
",学校内で看護技術が必要とされる状況をグループで想定しロールプレイ演習を行う,15回中11回,,
学校安全及び救急処置,Safety Education & First Aids in School,2020,専修専門科目,健康教育,,2,5期,,前,藤田英二,fujita@nifs-k.ac.jp,,本授業では、学校現場で起こりうる事故・ケガに対して実際に対応可能となることを目的として講義、実習を進める。それらを通じ、救急蘇生法や応急処置法などが身に付く事が期待される。,救急蘇生法や応急処置法の習得,"１．  オリエンテーション、学校事故統計の確認
２．  救急処置と応急処置について
３．  救急処置実技
４．  RICE処置および熱中症予防について
５．  上肢のケガ
６．  上肢のケガに対する固定法（実技）
７．  下肢のケガ
８．  下肢のケガに対する固定法、松葉杖歩行の指導（実技）
９．  頭部・頚部・体幹部のケガ
１０．テーピング実技：基本的な取り扱い
１１．テーピング実技：肉ばなれ
１２．テーピング実技：足関節捻挫
１３．テーピング実技：膝関節捻挫
１４．ケガを予防するストレッチングについて
１５．授業の総括と確認試験",,生理学、解剖学を受講済であること,確認試験（70%）、レポート（30%）,"テキストの購入の必要性はないが、授業中に随時、参考図書の紹介をする。
講義に使用するスライド資料は、基本的に毎回配布する。","13.生徒指導に関する構想力
　【D構想力，展開力，評価力等】個々人の発達課題の把握や問題行動及びその対応等の理解を深めるとともに，積極的な生徒指導の在り方について構想することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
19.道徳，特別活動，総合的な学習の時間等に関する理解
　【E教科領域等の内容理解】道徳，特別活動，総合的な学習の時間など，教科以外の教育活動について，その指導内容や指導方法に関する基礎的な知識を身に付けている
",,,,,
エイジングバイオメカニクス【不開講】,Aging Biomechanics,2020,専修専門科目,健康教育,,2,5期,,前,末吉　靖宏,"末吉　靖宏
E-mail: sueyoshi@edu.kagoshima-u.ac.jp　Tel: 099-285-8837",,"高齢社会において、日常生活や体育・スポーツの場における高齢者の安全を確保することが、重要な課題となっている。この授業の目的は、バイオメカニクス（生体力学）の観点から高齢者の運動にかかわるさまざまな問題を見出し、その解決方法を見出す考え方を身に着けることにある。授業内容としては、身体の動く仕組みや合理的な動きを明らかにするバイオメカニクスの基礎的な知識や、エイジング（加齢）にともなう身体機能の低下などを学ぶとともに、日常生活や体育・スポーツにおける事故や災害を防止するための安全な動き、介護者に求められる合理的な動き（ナーシングバイオメカニクス）などについて学ぶ。授業は、資料は配布資料とスライドを用いた講義形式で進められる。
 ","１．バイオメカニクスの基礎が理解できる
２．高齢者の特徴を把握し、エイジングバイオメカニクスの課題を理解できる 
３．日常生活におけるエイジングバイオメカニクスについて理解できる 
４．介護におけるエイジングバイオメカニクス（ナーシングバイオメカニクス）について理解できる 
５．スポーツにおけるエイジングバイオメカニクスについて理解できる
","第01回：講義の概要と少子高齢化問題 
第02回：運動学の基礎 
第03回：動力学の基礎 
第04回：身体重心と運動の関係 
第05回：回転の力学 
第06回：弾性の力学、その他 
第07回：第1回から第6回までの授業の総括と確認試験
第08回：エイジングバイオメカニクスと高齢者の特徴について 
第09回：日常生活におけるエイジングバイオメカニクス（立ち上がる、立つ） 
第10回：日常生活におけるエイジングバイオメカニクス（立つ、歩く） 
第11回：日常生活におけるエイジングバイオメカニクス（歩く、転倒） 
第12回：介護におけるエイジングバイオメカニクス（介護動作と安全） 
第13回：介護におけるエイジングバイオメカニクス（基本動作、ベット上での移動など）
第14回：スポーツにおけるエイジングバイオメカニクス 
第15回：第8回から第14回まで授業の総括",次回の内容について配布資料やインターネットなどを用いて予習を行う（学修に要する標準時間は1時間）。授業で学んだ内容を振り返り、要点を整理する（学修に要する標準時間は約30分）。,特になし。,"確認試験（40％）、課題レポート（40％）、授業態度（20％）で評価する。 
欠席が全講義時数の三分の一を越える場合には、評価の対象としない。 
","資料を配付する。
参考書は講義で紹介する。","14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
