■対象入学年度,■対象学科名,■科目名,,■前後期,■実施期,■区分,■単位数,■担当教員,■代表者教員連絡先等,■授業の概要（目的と内容）,■受講学生が達成すべき目標,■成績の評価基準,■授業計画,■授業時間外学習,■参考書・教科書,■オフィスアワ－,■修得しておくべき科目・必要な予備知識,■学科の学習・教育到達目標との関連,■授業形態,■備考,■アクティブ・ラーニング,■アクティブ・ラーニング（「その他」の内容）,■アクティブ・ラーニング（授業回数）,■実務経験のある教員による実践的授業
2018,機械工学科,機械工学セミナー,Mechanical Engineering Seminar,後期,３年次後期,必修科目,2,高橋淳二、熊澤典良、洪定杓、松崎健一郎、上谷俊平、佐藤紘一、池田徹、小田美紀男,kumazawa@mech.kagoshima-u.ac.jp,"　受講生は複数のグループにわかれ、担当教員が設定するテーマあるいは自ら設定したテーマについて、文献やインターネットにより調査・研究を行い、各自が考えをレポートにまとめ、発表・討論を行う。受講生は担当教員のアドバイスを受けるが、決まった答えがある訳ではないので、自ら考え行動しなければならない。本授業の目的は、自ら考え行動する能力と自分の考えをレポートや発表により人に伝える能力を養うことにある。本授業で養った能力を卒業研究でさらに高めていく。さらに、本学科卒業の企業人等、学外講師による講義を行うので、卒業後の進路や職業人としての生き方を考え、進路選択や研究室選択の一助として欲しい。
　本セミナーの内容は、ＪＡＢＥＥの［実験・卒業研究に関する保証時間］としての１５コマ（正味 22.5 時間）授業となるが、それを通して、特に教育目標４）「機械工学の基礎知識の修得とそれらを問題解決に自在に応用する能力の養成」と教育目標６）「調査、討論、発表などを通じて、自ら課題を見いだし、それを解決する能力の養成」を達成できる。",　この授業では、以下の能力を修得することを目標とする。１）調査・研究を通して問題の本質を洞察する、２）レポート（３ページ以内の書式）により、簡潔かつ的確に自分の考えを表し伝達する、３）発表と討論を通じて、自分の意見を他人に伝え、他人の意見を理解し、共通点や相違点の理解ができ、さらに自分の意見や考えを修正する。,　調査研究のレポートと発表・討論を総合し、評価する。レポート40％、発表・討論40％、出席20％とする。ただし、レポートを提出しない、あるいは発表・討論をしない場合は不合格とする。これらの評価点の合計が90％以上をＡ、80～90％未満をＢ、70～80％未満をＣ、60～70％未満をＤ、60％未満をＦと評価する。,"1． 授業内容の説明・組み分け・主テーマ選択、KJ法等による個別テーマの抽出と選択
2． 主テーマの枠組み（個別テーマ）に関する発表・討論
3． 個別テーマに関する調査・研究
4． 個別テーマに関する調査・研究
5． 個別テーマの中間発表と討論（１人５分程度）
6． ケーススタディＩ（学外講師）
7． 個別テーマに関する追加調査
8． 個別テーマに関する取りまとめと発表準備
9． 個別テーマの発表・討論（１人10分程度）
10．個別テーマを主テーマへ統合するための打ち合わせ・討論
11．主テーマとしての取りまとめ・発表準備
12．主テーマに関する発表（１テーマ30分）と討論
13．ケーススタディ?（学外講師）
14．個別テーマ（個人）と主テーマ（チーム）のレポート作成
15．２回のケーススタディに関する討論・レポート作成","インターネット，図書館などを利用して，自主的に与えられたテーマについての調査・学習を行う．
授業時間外学習は、1単位あたり30時間以上行うこと。","教科書：なし
参考書：なし（テーマに応じて、必要な情報を調査することも、学習目標の一つである）",第１週目に担当教員から適宜指示する。,　授業は問題解決能力に関する知識を基礎として進めるので、フレッシュマンセミナー?、?等の科目を履修していることが望ましい。,教育目標（６）,,,,,,
2018,機械工学科,数値計算とプログラム,Programming and Numerical Analysis,後期,３年次後期,必修科目,2,西村悠樹、村越道生,機械工学科2号棟2階　099-285-8276 yunishi@mech.kagoshima-u.ac.jp,"　機械システムの機能は、各要素の形状と大きさによって発揮される。理論的に解析、設計した後、実システムを製作するためには、寸法や形状を数値計算して求めなければならない。簡単な計算なら電卓でできるかも知れないが、少し複雑になるとコンピュータを使う必要がある。
　本講義では、パーソナルコンピュータ（ＰＣ）を使って数値計算することを想定して、最初にＰＣのＯＳ（オペレーティングシステム、具体的にはＭＳウインドウズ）、計算言語としてＣ言語、およびコンパイルの方法について簡単に触れる。その後、幾つかの主題について、プログラムのコーディングと計算アルゴリズム（計算の手順）を学習する。プログラムを実行するとエラーが発生して、計算を実行できないことが多い。プログラムの誤りの発見、訂正は重要で、これについても幾つかの方法を学習する。
　本講義では、ＪＡＢＥＥの「情報と計測・制御」分野の基本キーワード：≪計算機利用の基礎≫を１５コマ（正味 22.5 時間）行うが、それは個別キーワード：＜プログラム言語＞について９コマ（正味 13.5 時間）、＜数値計算＞について６コマ（正味 9 時間）の授業と見なすこともできる。",　この授業では、以下の能力を修得することを目標とする。１）Ｃ言語の基本的な文法の習得とプログラムのコーディング、２）数値計算のアルゴリズムの理解とそのプログラミング、３）プログラムの開発の手順の理解と課題からアルゴリズムを見いだすこと。,　プログラミングに関する学習状況を把握するために複数回行う演習の結果、最終課題の成績、出席状況、及び受講態度を考慮して総合的に成績評価を行う。目標に対する学習到達度90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦと評価する。,"1． Windows とＣ言語によるプログラム開発環境　　　：≪計算機利用の基礎≫
2． プログムの基本形　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
3． データの形と式　　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
4． 条件判定と制御文　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
5． 配列と関数の使い方　　　　　　　　　　　　　　：≪計算機利用の基礎≫
6． プログラム課題演習（行列計算）　　　　　　　　：≪計算機利用の基礎≫
7． プログラム課題演習（乱数の発生）　　　　　　　：≪計算機利用の基礎≫
8． プログラム課題演習（台形則による数値積分）　　：≪計算機利用の基礎≫
9． プログラム課題演習（ルンゲ・クッター法による微分方程式の解法)
　　　　　　　　　　　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
10．プログラム課題演習（ルンゲ・クッター法による微分方程式の解法)
　　　　　　　　　　　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
11．データ構造とアルゴリズムの考え方　　　　　　　：≪計算機利用の基礎≫
12．プログラム課題演習（リスト構造の応用）　　　　：≪計算機利用の基礎≫
13．計算機を用いた問題解決　　　　　　　　　　　　：≪計算機利用の基礎≫
14．プログラ課題演習　　　　　　　　　　　　　　　：≪計算機利用の基礎≫
15．プログラミングの総合課題演習　　　　　　　　　：≪計算機利用の基礎≫","授業終了時に課す課題についてレポートを作成すること。
レポート課題の作成には合計で60時間以上を費やすこと。","教科書：森口、伊理、武市編、Ｃによる算法通論（東京大学出版会）
参考書：浦、原田共編、Ｃ入門（培風館）
",　曜日１３：００～１７：００を予定しているが、授業開始時に改めて説明する。,　授業はＰＣを使用できることを前提として進めるので、情報活用基礎を履修していることが望ましい。,教育目標（３）,,,,,,
2018,機械工学科,機械英語I,English for Mechanical Engineering Ｉ,後期,３年次後期,必修科目,2,池田徹、中村祐三、小金丸正明、中尾光博,,"前半では、TOEICの試験を意識した、ヒアリングとリーディングの訓練を行い、後半では、機械工学に必要な英
語表現の学習を行う。
将来、英文の論文やレポートを執筆し、英語で技術プレゼンターションを行うための、基礎的な英語能力を養う
。","・TOEICのスコア向上を念頭においた、の、リーディング、ヒアリング、文法に関する英語の基礎力レベルアッ
プを図る。
・技術英語の基本的な構文や表現方法を身につける。
・機械工学関連文献に特有な語彙や表現を理解する。","中間試験、期末試験60％、その他の小テスト、レポート等40％
","1.	ガイダンス・典型的な文法の解説
2.	典型的な文法の小テスト、リーディング練習レベル1、ヒアリング演習レベル1
3.	リーディング練習レベル1の小テスト、リーディング練習レベル2の解説、ヒアリング演習レベル2
4.	リーディング練習レベル2の小テスト、リーディング練習レベル3の解説、ヒアリング演習レベル3
5.	リーディング練習レベル3の小テスト、リーディング練習レベル4の解説、ヒアリング演習レベル4
6.	リーディング練習レベル4の小テスト、リーディング練習レベル5の解説、ヒアリング演習レベル5
7.	リーディング練習レベル5の小テスト、リーディング練習レベル6の解説、ヒアリング演習レベル6
8.	リーディング練習レベル6の小テスト、リーディング練習レベル7の解説、ヒアリング演習レベル7
9.	中間のまとめ（TOEICの模擬試験）
10.	機械工学専門分野の文章読解（生産工学関連）
11.	機械工学専門分野の文章読解（エネルギー工学関連）
12.	機械工学専門分野の文章読解（機械システム工学関連）
13.	機械工学に関連する論文の選択
14.	発表準備
15.	論文の要約などの英語によるプレゼンテーション
16.	論文の要約などの英語によるプレゼンテーション・期末のまとめ",枚時間ごとに、小レポート、中間試験、期末試験等のための１～２時間程度の自宅学習。,後日、アナウンスを行う。,"授業の初めに、各教員からアナウンスを行う
■修得し",,,演習を中心とした講義,,プレゼンテーション学習の振り返り（ミニッツ・ペーパー等）,,16回中14回,
2018,機械工学科,材料科学論,Introduction to Material Science,後期,３年次後期,選択科目B,2,小金丸正明 、定松直、青野祐美,"前半：小金丸正明　機械工学2号棟3階、099-285-8255、koganemaru＠mech.kagoshima-u.ac.jp
後半：青野祐美　理工系総合研究棟3階、099-285-7793、aono＠eee.kagoshima-u.ac.jp","　機械、土木、建築等の分野では主にcmオーダーより大きな構造材料が主な対象となり、電気、電子、生体等の分野では電子や原子サイズの現象が主に取り扱われる。しかし、材料という観点から見ると、これらは別なものではない。このマクロとミクロの視点をつなぐ橋渡しの役割を果たしているのが材料科学である。
　本講義の前半は、金属材料に関する内容が主となる。構造材料として用いられる金属材料においては、原子間の結合状態・電子状態を知り、それらがマクロな材料の物性に及ぼす影響を議論する必要がある。金属電子論の基礎について理解するとともに、材料の構造等を知るための材料解析手法を学ぶことを目的とする。
　本講義の後半(第9回以降)は、電子材料に関する内容が主となる。エレクトロニクス分野において、様々な機能を実現するために多種多様な材料(金属・半導体・絶縁体・誘電体・磁性体等)が使用されている。これらの電子材料の物性を微視的なレベルから考察し、マクロ的な視点ではなくミクロ的な視点から材料特性を理解することを学ぶ。また、代表的な電子材料をトピックス的に紹介し、その材料特性を支配する固体中の電子の状態についての理解を深める。","（１）材料における電子状態・物性の理解
（２）材料の特性に関する微視的なレベルからの理解","課題レポート、中間試験、期末試験をそれぞれ20％,40％,40％の比率で総合的に評価し、目標に対する学習到達度90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦと評価する。","1. 種々の材料とその用途・製造プロセス
2. 結晶構造・X線回折
3. 電子物性の基礎
4. 格子欠陥・拡散
5. 転位論の基礎
6. 光学顕微鏡
7. 電子顕微鏡
8. 中間のまとめ　
9. 導電材料と抵抗材料
10. 誘電材料・圧電材料
11. 磁気材料
12. 半導体材料
13. 太陽電池と発光・受光素子
14. ディスプレイと光記録
15. 超電導材料
16. 期末試験",教科書、参考書等を使用して、予習・復習を行い、各項目についてより理解を深めること。これらの授業時間外学習は６０時間行うこと。,"参考書（講義前半）
「物性論－固体を中心とした－」黒沢達美著（裳華房）
「図でよくわかる機械材料学」渡辺義見、三浦博己、三浦誠司、渡邊千尋著（コロナ社）
「やさしい電子物性」宮入圭一、橋本佳男著（森北出版）
「Transmission Electron Microscopy」D. B. Williams，C. B. Carter著（Springer)
「新・走査電子顕微鏡」日本顕微鏡学会関東支部編（共立出版）
参考書（講義後半）
「電子・光材料(第2版)」澤岡昭著（森北出版）",担当教員が講義開始前にオフィスアワ－の曜日と時間帯を説明する。,"力学、熱力学、電磁気学、量子力学を理解していることが望ましい。
 ",（B）多面的な思考（電気電子）、教育目標（４）（機械）,講義,,プレゼンテーション,,15回中１回（後半部分）,該当しない。
2018,機械工学科,環境工学論,Environmental Engineering,後期,３年次後期,選択科目B,2,二宮秀與、曽我和弘、黒川善幸、山城徹、柿沼太郎,　０９９－２８５－８３０５　nimiya@aae.kagoshima-u.ac.jp,"講義は、環境問題に関して工学的な立場から理解することを目的としている。工学部建築学科、海洋土木工学科の教員により、環境工学における重要事項やトピックスが紹介され、理論と実践について講述する
","将来の海面上昇に伴い、沿岸部の災害リスクが増加することについて、工学的に考える力を養う。各自が地球の有限性を認識する。人為的要因と自然要因による気候変動を理解する。地球環境問題と建築の関連性を理解し、快適性，環境、省エネに対する建築環境計画手法を学ぶ。また労働安全衛生の観点から産業における作業環境管理の重要性を理解する。 
自然と工学の関わりに目を向ける。","講義ごと、教員ごとの小試験、レポートの成績によって総合評価する。出席は評価されないが、講義への出席、関心により小試験、レポートに反映し、結果として評価に影響する。また、５回以上の欠席者には単位を与えない。
","１．担当(二宮)　概説　シラバス　オフィスアワー、質問、評価方法の説明 
２．担当(二宮)　生活と水 
３．担当(二宮)　日常生活におけるエネルギー消費量 
４．担当(二宮)　建築における環境マネジメント 
５．担当(曽我)　地域熱供給と都市環境 
６．担当(曽我)　居住環境快適性とシックハウス問題 
７．担当(曽我)　環境に配慮したグリーンビルディング 
８．担当(柿沼)　沿岸の防災 
９．担当(柿沼)　沿岸の環境 
10．担当(山城)　海洋と物理環境 
11．担当(山城)　海洋再生エネルギーの開発動向と今後の展望 
12．担当(山城)　わが国の海洋再生エネルギー開発の現状と課題 　 
13．担当(黒川)　建設材料生産における環境負荷と産業副産物の利用 
14．担当(黒川)　ライフサイクルと維持管理　 
15．担当(黒川)　作業環境と労働安全衛生 
16．担当(二宮)　授業評価・総合レポート",授業時間外学習は各講義で課されるレポートをまとめるための文献調査やフィールド調査である。授業時間外学習時間は計60時間（各4時間）行うものとする。,"教科書：なし
参考書：なし
担当教員の準備する講義資料
 
","最初の講義の時間に指示する。
都合により講義の順番を変更する場合がある。
受講者数制限　１００名",特になし。,「機械工学科」：教育目標は（１）である。，「電気電子工学科」：学習・教育到達目標は(A)技術者倫理，(B)多面的な思考である。，「海洋土木工学科」：本科目を履修すると学習・教育目標は次のように達成される（時間）。A(7.5)、B(7.5)、D(3.75)、E(3.75),講義,,学習の振り返り（ミニッツ・ペーパー等）,,15回中5回,該当しない
2018,機械工学科,科学技術論,"Science, Technology and Society",後期,３年次後期,選択科目B,2,塩屋晋一、澤田樹一郎、柴田晃宏、木方十根、二宮秀與、鯵坂徹、小山雄資、内山博之、辻村誠一,　099-285-8299　shin@aae.kagoshima-u.ac.jp,"　科学技術は産業革命以降急速な発展を遂げ、今日もなお進化し続けている。科学技術の発展により、人類の長年の夢や願望の多くが実現され、人々は便利な生活を手に入れることができたが、その反面、都市への人口集中や産業の急速な発展により環境破壊や公害などの問題を生み出している。
　本講義では、科学技術の発展が人々に何をもたらし、どのように生活を変えていったのかを知るとともに、その中で科学者や技術者は何を考え、どのように行動してきたかについて考えていきたい。科学技術のもたらす正と負の２つの面を理解し、これからの科学者、技術者は如何にあるべきかを考えるのが本講義の目標である。 
　教員がそれぞれの専門に近い領域の問題を取り上げ、門教授は「人類の夢と科学技術」と題して動力利用の進化と技術の関係を、松村教授は「２０世紀の災害と建築防災の技術」と題して地震災害への科学技術の貢献について、塩谷助教授は「コンクリート造建築物の技術」と題して建築物における技術の問題について、論じる。","　本講義で到達すべき目標は以下の２つである。

１）高度に発達した現在の科学技術の社会的意味および科学技術がもたらす有益な面と有害な面について理解す
る。
２）科学者・技術者はどのようにすれば科学技術を人々のために真に役立てることができるかを理解する。 
","　教員により、講義内容に関連した課題を宿題にする場合もあるし、試験を行う場合もある。その結果が課題に適切に答えているか、講義の内容を十分に理解しているかを基準にして成績を評価する。
　上記の目標に対してレポートと試験の場合はレポートが70%、試験が30%で評価する。レポートだけの場合はレポートだけで評価する。それぞれの教員の成績を総合した評点をこの科目の成績とする。 
","１）科学技術の発展（講義の進め方を含む）     塩屋教授（建築学科）           
２）インタフェースの変遷とハードウェアの進歩 内山教授（情報生体工学科）     
３）GUIの特徴と今後のBMI技術などの展望   内山教授                    
４) フラクタルの世界　　　　　　        　　　吉本准教授 （情報生体工学科）  
５）カオスの基礎概念　　　　　　      　　　 吉本准教授 （情報生体工学科）   
６）作業資格と労働安全             　　　　　黒川准教授(建築学科）          
７）建築と都市計画　　　　　　　   　       小山准教授（建築学科）          
８）建設と破壊にみる現代文明の課題   　 　  木方教授（建築学科）            
９）水とトイレの生活科学　 　　　　  　     二宮教授（建築学科）           
10）パリの街並みと都市計画制度　　　  　    鰺坂教授（建築学科）           
11）都市を構成する建築の保存再生　　　 　   鰺坂教授                      
12）住空間における豊かさ     　　　  　     柴田准教授（建築学科）           
13）木と森　　　　       　  　　　　　　 　鷹野准教授(建築学科）            
14）木と建物　　　　　　　　　　　        　鷹野准教授(建築学科）            
15）これからの科学技術と問題点     　       塩屋教授　（建築学科）",これらの授業時間外学習は60時間行うこと,教科書は使用しないが、各教員の講義内容に関連する教科書や参考書を紹介する。 ,"複数の教員が担当するので、教員毎にオフィスアワーは異なる。講義の始めに案内する。
受講者数制限８０名
",なし,学習・教育目標における本科目の分野は、非特定領域で、学習保証時間は22.5時間である。電気電子工学科の場合、学習・教育到達目標は(A)「技術者倫理」と(B)「多面的な思考」になります。,講義,,,,0回中0回,該当しない
2018,機械工学科,原子力・放射線と環境,"Nuclear Power, Radiation and Enviroment",後期,３年次後期,選択科目B,2,佐藤　紘一,理工系総合研究棟３階　099-285-8265　ksato@mech.kagoshima-u.ac.jp,原子力関連の事故が起こるたびに原子力の利用は議論の的になっている。工学部の学生は、科学的・工学的な知識をもとに原子力について考えることが大切である。そこで、本講義では原子力や放射線に対して正しい知識を持ち、それらが環境に及ぼす影響を理解したうえで、原子力利用の是非について考えるきっかけを与えることを目的とする。原子力発電の原理・周辺技術・放射性廃棄物・原子力関連の事故、放射線とその物質との相互作用などについて講義する予定である。原子力発電の事故から発せられる意見については、賛否どちらも紹介する。,"・原子炉の原理・構造、構造材料などの周辺技術、原子炉以外の原子力を用いた炉について理解する。
・放射性廃棄物に関する知識を得て、それらが環境に及ぼす影響について考察する。
・原子力発電における事故について学び、社会における原子力の位置付けについて考える。
・放射線の発生原理、物質・人体・環境との相互作用に関する知識を得る。",講義中の小テスト、中間テスト、期末レポートを課す。小テスト、中間テスト、期末レポートの点数をそれぞれ20%、40％、40％の比率で総合的に評価し、目標に対する学習到達度90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦと評価する。,"第１回：原子の構造
第２回：核エネルギーの発生
第３回：放射線とは・放射線の性質
第４回：放射性物質の生成・放射線の評価
第５回：環境中の放射性物質
第６回：放射線の人体への影響・放射線の防護
第７回：放射線の測り方
第８回：中間のまとめ
第９回：エネルギー情勢・地球規模の環境問題
第１０回：原子力発電の仕組み
第１１回：原子力発電の現状・安全性
第１２回：原子燃料サイクル・放射性廃棄物
第１３回：発電所の廃止・その他
第１４回：原子力発電所の事故
第１５回：福島第一原子力発電所の事故",参考書や配布試料を使用して、予習・復習を行い、各項目についてより理解を深めること。これらの授業時間外学習は６０時間行うこと。,"適宜資料を配布する。
参考書：原子力発電がよくわかる本（榎本聡明著、オーム社）、放射線を科学的に理解する（鳥居寛之、小豆川勝見、渡辺雄一郎、中川 恵一著、丸善出版）",火曜日１０：００～１２：００,"数学、物理学、化学、生物学等基礎専門科目エネルギー工学論、環境工学論、材料科学論
注；本講義は全学科にまたがっているので、学科指定の科目で良い。",教育目標（３）、（４）（機械） ［電気電子工学科の学習・教育到達目標］（Ａ）技術者倫理（Ｂ）多面的な思考（電気電子） 学習・教育目標：１）（環化工）,講義,,グループワーク,,15回中1回,該当しない
2018,電気電子工学科,電波工学,Applied Electromagnetics,前期,３年次前期,選択科目D,2,西川健二郎,電気電子棟　604A　099-285-8421　nisikawa@eee.kagoshima-u.ac.jp,無線通信技術は第5世代携帯電話，無線電力伝送等技術革新が継続しており，今後ますます重要性が増してくると予想される.その場合に問題になるのは、使用する電波の周波数の逼迫である。この有限の資源である周波数 を有効活用するには、使用する電波の性質を知らなければならない。電波はどのようにして放射され、伝搬するかを中心に基本的事項を学習する。,"１）電磁波の放射、伝搬の理論的な取り扱いを理解すること。
２）電磁波の伝搬特性を理解すること。
３）アンテナの動作と特性を知ること。
４）電磁波の応用システムを知ること。","成績は、中間演習、全体演習，レポート(ホームワーク），グループワーク＆講義毎の演習により評価する。評価の割合は、中間演習を３０％、全体演習を３０％、レポートを
２０％，グループワーク＆講義毎の演習２０％とする。","1.講義ガイダンス,電磁波とは? 
2.電磁波の概要及びその応用,研究開発の歴史
3.無線システム
4.平面波 
5.電波の振舞の数学的表現:マクスウェルの方程式,波動方程式 
6.高周波伝送路
7.分布定数線路
8.中間演習
9.散乱行列(Sパラメータ)
10.スミスチャート
11.マイクロ波回路
12.電波の放射,アンテナ
13.電波伝搬
14.最新無線通信システム及びセンシング・レーター技術への応用 
15.全体演習
","参考書等を用いて事前に学習し,講義の理解に必要な予備知識,電波工学の基礎を身につける 講義毎に出題するレポート課題およびグループワークにより講義内容の復習及びその応用力を身につける．授業時間外学習は60時間行う．","講義資料をManaba上で毎回配布する.
参考書:(1)David M. Pozar,Microwave Engineering,Wiley社 
(2)後藤尚久、新井宏之:電波工学、昭晃堂
(3)虫明康人:アンテナ・電波伝搬、コロナ社
(4)情報通信振興会: 無線従事者国家試験問題解答集 第一級陸上無線技術士 
(5)安達三郎、佐藤太一:電波工学、森北出版 
(6)中島将光:マイクロ波工学，森北出版
(7)電子情報通信学会 知識ベース 知識の森 (http://www.ieice-hbkb.org/portal/) そのほか大学図書館の電子書籍を利用してもよい",原則毎水曜12:00-15:00,電気磁気学，電気回路学，応用数学，通信工学など,［学科の学習・教育目標］（F)専門学力,講義,"・本科目は，無線従事者国家資格の試験免除または免許取得の対象科目となっている．
・レポート，演習課題の提出，講義資料等の配布はManabaシステムを用いて行う．
・講義中の演習にmanabaを用いるので，講義中にmanabaにアクセスできる環境を整えること（PC，タブレット，携帯電話等からアクセスできること）
・提出期限を過ぎた提出は理由の如何を問わず一切受け付けない．
・ソフトウエアを用いた演習を実施するのでPCを準備すること．",グループワークその他,演習，レポート，グループワークによる理解度の確認,15回,実際に生じる課題について考え，理論を用いて解決する能力を身につけさせる.
2018,電気電子工学科,システム工学,System Engineering,前期,３年次前期,選択科目D,2,福島誠治,"099-285-8438, fukushima@eee.kagoshima-u.ac.jp",システム工学とは、システムの目的を最もよく達成するために、対象となるシステムの構成要素、組織構造、情報の流れ、制御機構などを分析し、設計する技術である。現在の著しい科学技術の進歩や発展に伴い、システム工学の対象は急激に大規模、複雑、高精度、多様化、創造されており、数学とコンピュータを駆使して諸問題を合理的に解決する。基礎となる信号処理、および具体例としての光通信システムの実システムを講義し、これに関した演習を行う。,"１）システム工学の概念と、その基礎となる信号処理を理解する。
２）通信獅子雨テム構築に必要な伝送、交換、変調、符号、多重を理解する。
３）具体的なシステムとしの光通信システムの概念、原理、基本構成などを習得する。
",適宜授業内容に関連したレポート課題を課す。成績は、中間試験４０％、期末試験４０％およびレポート２０％の重みで評価する。,"　１．システム工学の概念
　２．アナログとデジタル
　３．現代制御の応用技術
　４．変復調の原理
　５．変復調回路
　６．符号と多重
　７．多重の原理
　８．多重システム
　９．演習
１０．交換（１）ーIP以前ー
１１．交換（２）ーIP技術ー
１２．光通信用アクティブデバイス
１３．光通信用パッシブデバイス
１４．その他の光部品
１５．量子化の効果と問題点
１６．期末試験",６０時間以上行うこと。４～８月の毎月、その月で最も重大であると感じた最新の通信事情を１５０～２００文字に要約すること。,"教科書：生協にて講義資料販売予定
参考書：講義中に紹介予定",毎週月曜日８：５０～１０：２０,応用数学II及び演習、プログラム基礎,[学科の学習・教育目標] (F)専門学力,講義,,,,１６回中０回,授業担当者は日本におけるインターネット黎明期よりインターネットを使用しており、初期から現在にいたるまでネットワーク技術のR&Dを先導してきた。インターネット（IP網）やLANの仕組みを講義し、特にラスト10mのLANの構築や機器の設定に関して実務的なことも含めて知見を授与する。 
2018,電気電子工学科,デジタル電子回路,Digital Electronic Circuits,前期,３年次前期,選択科目D,2,重井徳貴,099-285-8416　shigei@eee.kagoshima-u.ac.jp,コンピュータやコンパクトディスク等は、アナログ電子回路の講義で学んだアナログ信号と異なり、デジタル信号で動作する。性能の良いデジタル装置を設計するには、パルス技術の理解なしでは困難である。本講義では、パルスの電気的性質、トランジスタのパルス動作、パルスの発生回路、計算機の基本回路である論理回路等の基礎となる考え方について解説していく。パルス回路はＣＲ回路が基本であるので、電気回路学の基礎を理解しておくことが重要である。なお、電子回路関係の講義はアナログ電子回路とデジタル電子回路の二つの講義でほぼ全体の考え方の概略がわかるようになっている。,"１）パルスの電気的性質やトランジスタを用いた基本的な論理回路の実現、パルス発生回路等について理解すること。
２）論理代数の基礎を理解し、組合せ論理回路や順序論理回路の解析・設計に習熟すること。",中間試験においてはパルス回路に関する問題を、期末試験においては論理回路に関する問題を出題する。また、適宜講義内容に関連した演習問題などの課題を与える。成績は、中間試験５０％、期末試験５０％の重みで評価する。,"　１．パルス波形
　２．バイポーラトランジスタのスイッチ作用
　３．電界効果トランジスタのスイッチ作用
　４．基本ゲート回路：ＴＴＬ、ＣＭＯＳ
　５．基本ゲート回路：ＥＣＬ、ＥＦＬ
　６．パルス発生回路：非安定マルチバイブレータ、単安定マルチバイブレータ
　７．パルス発生回路：双安定マルチバイブレータ、シュミットトリガ回路
　８．パルス回路の復習
　９．論理代数、論理式と論理回路
１０．論理式の簡単化
１１．組合せ論理回路の解析・構成
１２．組合せ論理回路の構成例
１３．順序論理回路の解析・構成
１４．順序論理回路の構成例
１５．論理回路の復習
１６．期末試験",授業は授業計画に従って行うので、配付プリントの関係する箇所を予習し、解らないところを明らかにしておくこと。復習のためにレポートの課題を出すので、講義内容を十分に復習して仕上げること。これらの授業時間外学習は６０時間行うこと。,"教科書：宮田武雄著「速解 論理回路」コロナ社
参考書：（１）渡辺英夫・長島富太郎著「電子回路３」森北出版
（２）鈴木八十二・吉田正廣著「パルス・ディジタル回路入門」日刊工業新聞社",毎週金曜日１０：００～１２：００,アナログ電子回路,  [学科の学習・教育目標] (F)専門学力,講義,,その他,演習,１５回中２回,該当しない
2018,電気電子工学科,電気機器学II,Electric Machinery II,前期,３年次前期,選択科目C,2,山本吉朗,　099-285-8411　yamamoto@eee.kagoshima-u.ac.jp,　電気―機械エネルギー変換機器の中で，この講義では回転機としての誘導機と同期機を取り扱う。これらは，電動機としては産業機械，工作機械，ＦＡ機器等の物を動かすところに大容量から小出力まで広く用いられている。また発電機としては，原子力や水力発電所等において主に大型の同期機が運転されている。これらの電動機や発電機がそれぞれシステムのなかで充分に機能を果たすためには、安全かつ安定にしかも効率良くパワーを変換しながら，よどみないトルクを発生して円滑に回転することが要求され，数学的にも正確な正弦波電圧を発生していることが望ましい。このような要件を満たすための回転機の仕組みと原理及びその電気特性について調べ，基本的事項を理解するとともに創造性を培うことを目的とする。,"１）誘導機の等価回路から速度特性，出力特性の導き方，および速度制御法を理解できること
２）同期機の原理から等価回路を導き，この等価回路から出力―負荷角特性等の計算ができること。
３）誘導機，同期機に関してｄ，ｑ軸座標変換の原理を理解できること。 
",成績評価は中間試験４０％，期末試験４０％，レポート２０％の割合で行う。,"　１．多相誘導電動機の簡易等価回路
　２．多相誘導電動機の特性
　３．多相誘導電動機の始動
　４．多相誘導電動機の速度制御
　５．単相誘導電動機の原理と特性，始動方式
　６．同期発電機の原理，電機子巻線と誘導起電力
　７．同期発電機の構造
　８．同期発電機の特性
　９．同期発電機の励磁方式，同期発電機の並行運転
１０．同期電動機の特性
１１．同期電動機の始動法
１２．同期機の乱調と安定度
１３．永久磁石電動機の原理と動作特性
１４．交流機のｄ，ｑ軸座標変換
１５．電気鉄道の概要
１６，期末試験",授業は授業計画に従って行うので，教科書の関係する箇所を予習しておくこと。授業では講義内容に関係する資料を配布するので，講義内容の復習に活用すること。また講義の内容をより深く理解するため，教科書の例題，章末の研究課題等を解いたり，参考書に示した本など，教科書以外の本講義内容に関連した本を複数読むことが望ましい。これらの授業時間外学習は６０時間以上行うこと。,"教科書：１．野中作太郎著；電気機器（II），森北出版
教科書：２．野中作太郎著；電気機器 (I)，森北出版
参考書：１．小山純・樋口剛著；エネルギー変換工学",毎週火曜日　１３：００～１６：００ ,電気機器学Iを修得しておくことが望ましい。 ,「学科の学習・教育目標」(F)専門学力,講義,,,,16回中0回,該当しない。
